Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
      Other pesticides,7,33,0,...,10,39,13,38,15,44,10,26,27,106,6,33,41,134,89,231,112,266,75,209,245,414,314,522,200,318,421,612,457,808,400,462
 Total Material Costs,2148,,1890,,2256,,3602,,4610,,1854,,5365,,6933,,4287,,5958,,7799,,4867,,7954,,8284,,7733,,8642,,6877,,9687,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,108,198,212,240,65,161,46,129,67,156,11,44,75,207,113,262,49,158,78,173,120,221,53,134,67,231,58,202,73,250,166,493,152,484,175,501
        Land preparation,1191,1372,1419,1371,1096,1374,1385,1595,1528,1411,1137,1901,2066,2272,2192,2829,1979,1821,2211,2011,2531,2265,2021,1840,3588,3764,4010,4682,3307,3003,4140,5332,3543,3458,4494,6170
        Crop establishment,1200,772,1586,758,1039,726,1275,1317,1423,1460,1018,1018,2759,2002,3253,2244,2419,1761,2409,1653,2928,1749,2102,1528,3637,2642,4191,2466,3269,2706,4439,3229,4159,3286,4604,3200
        Crop care and maintenance,567,605,843,635,453,559,585,695,795,749,220,394,515,677,708,767,383,579,575,831,934,1009,362,622,1588,2689,1850,2659,1414,2711,1545,2136,1808,2119,1389,2141
        Harvesting and threshing,2931,2077,5199,1774,1989,1337,4168,3217,6009,2499,977,1106,4903,3774,7538,3763,3091,2524,5064,2805,7562,2408,3584,1797,5905,4059,6807,3826,5304,4122,5993,3839,6483,3225,5703,4149
        Post-harvest labor,157,284,179,245,148,300,341,446,490,476,83,224,397,470,575,560,274,353,248,313,536,319,77,133,440,909,912,1248,125,318,499,800,607,615,435,888
        Permanent hired labor,238,1350,61,288,311,1594,0,...,0,...,0,...,0,...,0,...,0,...,47,440,128,721,0,...,159,1280,398,2012,0,...,274,1898,552,2945,110,767
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,90,60,94,73,88,54,170,96,170,102,169,85,671,486,883,548,525,380,525,363,620,454,469,287,1024,784,993,787,1044,786,1717,2237,1349,900,1934,2718
        Land preparation,830,743,757,856,860,698,1085,791,909,722,1390,838,2287,1827,2210,2174,2340,1568,2813,2125,2290,2077,3122,2111,3127,3381,2916,3029,3268,3609,4126,12422,2160,1885,5289,15518
        Crop establishment,469,608,272,460,551,646,1331,1060,1681,1128,726,563,798,807,735,798,842,818,1441,2339,940,971,1738,2825,1991,3039,1244,1854,2490,3546,2501,8642,1254,2455,3239,10692
        Crop care and maintenance,847,723,1222,1094,691,421,1310,704,1589,664,825,481,1700,1597,2372,2090,1238,911,2996,3355,4941,4519,1843,1573,5609,7395,4777,5540,6163,8397,4479,11861,3500,3397,5059,14734
        Harvesting and threshing,247,642,0,...,350,742,457,663,240,453,833,806,195,514,115,485,250,531,536,1280,191,842,741,1449,332,1036,0,...,553,1294,1302,8557,88,331,2020,10749
        Post-harvest labor,57,60,50,64,60,59,480,177,535,141,385,196,140,213,141,271,139,164,334,445,156,311,440,480,0,...,0,...,0,...,583,2303,232,471,790,2868
 Power,64,189,55,163,68,200,36,110,0,...,97,169,85,321,95,355,79,299,191,552,316,766,118,363,332,823,93,237,492,1017,124,315,60,133,162,380
 Total Labor and Power Costs,8996,,11948,,7770,,12669,,15436,,7873,,16590,,20929,,13607,,19469,,24193,,16669,,27801,,28251,,27500,,31887,,25945,,35403,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,1151,1142,1837,1519,865,801,1341,1022,1349,1037,1325,1031,1918,1450,2729,1231,1360,1329,1611,1447,2651,1393,994,1087,2930,2133,3452,2057,2583,2125,2918,2524,3161,2243,2775,2677
      Irrigation,193,674,659,1131,0,...,346,432,545,430,0,...,329,850,809,1186,0,...,299,608,802,773,0,...,186,834,464,1276,0,...,36,208,96,334,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,105,155,87,176,118,140,200,257,208,261,195,257,168,258,157,232,176,275,196,302,111,137,246,357
      Land tax,170,318,168,426,170,266,113,210,126,244,90,135,267,426,401,514,174,327,156,272,259,358,94,183,0,...,0,...,0,...,0,...,0,...,0,...
      Land rent,2489,3819,3892,5513,1906,2702,3144,5242,4460,6170,863,1312,9230,3732,10527,3780,8338,3461,8768,3486,10439,3183,7777,3298,3419,6440,4102,6362,2964,6492,5780,7286,7742,7142,4619,7154
      Other inputs,23,53,47,87,14,24,94,108,96,123,91,80,319,474,330,421,310,512,177,434,175,380,178,466,437,317,517,312,384,310,703,643,779,429,658,739
      Interest on capital,3,10,0,...,4,11,1,7,0,...,4,12,112,413,62,172,147,518,279,924,526,1320,133,542,82,223,117,326,58,107,43,55,48,86,40,24
 Total Other Costs,4028,,6604,,2959,,5038,,6576,,2373,,12280,,14946,,10448,,11488,,15061,,9370,,7222,,8809,,6164,,9676,,11938,,8338,
Total Cost of Production,15173,,20442,,12985,,21309,,26622,,12101,,34236,,42809,,28341,,36914,,47054,,30906,,42976,,45344,,41398,,50205,,44760,,53428,
NET RETURNS,8964,,16945,,5646,,4745,,8503,,-1416,,-2451,,-1965,,-3191,,944,,3584,,-1092,,-8973,,-7113,,-10291,,-9878,,-4558,,-13040,
Cost/kg,7.5,,6.52,,8.32,,9.67,,9.04,,13.19,,14.81,,13.93,,15.85,,14.33,,13.19,,15.54,,19.68,,18.2,,20.93,,20.21,,18.39,,21.26,
Net Profit Cost Ratio,0.59,,0.83,,0.43,,0.22,,0.32,,-0.12,,-0.07,,-0.05,,-0.11,,0.03,,0.08,,-0.04,,-0.21,,-0.16,,-0.25,,-0.2,,-0.1,,-0.24,
Net Profit from Rice Farming,8964,,16945,,5646,,4745,,8503,,-1416,,-2451,,-1965,,-3191,,944,,3584,,-1092,,-8973,,-7113,,-10291,,-9878,,-4558,,-13040,
"Net Profit from Rice Farming + Returns
 to Own Labor",11504,,19340,,8247,,9578,,13627,,2912,,3339,,4491,,2142,,9590,,12723,,7261,,3110,,2818,,3227,,4828,,4025,,5291,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",13993,,23232,,10153,,12722,,18087,,3775,,12569,,15018,,10480,,18357,,23162,,15038,,6529,,6921,,6191,,10609,,11767,,9910,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",13995,,23232,,10157,,12724,,18087,,3779,,12682,,15080,,10627,,18636,,23688,,15171,,6611,,7038,,6249,,10652,,11816,,9950,
Leyte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 79),,(n = 52),,(n = 27),,(n = 78),,(n = 54),,(n = 24),,(n = 84),,(n = 69),,(n = 15),,(n = 83),,(n = 69),,(n = 14),,(n = 156),,(n = 130),,(n = 26),,(n = 154),,(n = 134),,(n = 20),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.86,0.71,0.83,0.61,0.91,0.89,0.85,0.63,0.8,0.5,0.96,0.86,0.84,0.66,0.88,0.71,0.66,0.29,0.84,0.66,0.88,0.71,0.61,0.33,0.95,0.67,0.94,0.7,0.96,0.47,1,0.65,1.03,0.68,0.8,0.28
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3113,871,3206,961,2935,645,2971,910,3241,842,2364,761,2860,1147,3067,1155,1910,377,3077,1180,3260,1098,2178,1196,3129,1322,3167,1363,2940,1094,2901,1268,2872,1301,3099,1031
   Price (₱/kg),9.23,0.81,9.09,0.53,9.5,1.14,9.86,0.71,9.84,0.71,9.9,0.72,13.39,0.93,13.54,0.88,12.67,0.88,14.2,0.59,14.19,0.64,14.24,0.28,15.95,1.96,15.74,1.33,16.97,3.67,16.53,1.75,16.47,1.66,16.9,2.28
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,28733,,29135,,27886,,29298,,31904,,23400,,38287,,41532,,24192,,43701,,46268,,31009,,49898,,49852,,49895,,47957,,47311,,52369,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,641,267,655,273,615,257,760,380,782,410,712,303,1268,889,1261,955,1297,500,1236,765,1291,809,963,416,1686,1521,1633,1259,1950,2464,1837,1307,1778,1273,2228,1489
      Fertilizer,2643,2334,2898,2620,2150,1579,3106,2076,3512,2330,2192,814,3280,2337,3523,2357,2163,1943,4277,3031,4540,3131,2983,2123,4436,2921,4564,3089,3792,1771,4338,2549,4440,2563,3653,2395
      Herbicides,143,274,124,242,180,330,93,162,122,183,26,61,226,317,221,319,248,321,181,285,212,300,28,103,237,330,241,349,219,218,325,518,316,534,386,395
      Insecticides,688,562,579,553,897,528,516,461,508,427,535,539,671,597,733,636,388,211,747,567,798,596,492,298,1173,1177,1148,1219,1295,953,1513,1483,1615,1557,825,431
      Fungicides,1,8,1,9,0,...,6,39,9,47,0,...,58,180,70,197,0,...,95,271,114,294,0,...,68,204,82,222,0,...,132,440,135,454,110,339
      Other pesticides,130,332,68,189,249,489,100,241,93,257,116,207,54,137,66,149,0,...,203,275,190,262,267,338,576,526,589,532,512,502,656,699,690,729,427,397
 Total Material Costs,4245,,4325,,4092,,4582,,5026,,3581,,5556,,5874,,4095,,6737,,7144,,4732,,8176,,8258,,7769,,8799,,8974,,7629,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,107,179,130,202,61,113,43,120,59,139,9,37,188,246,217,254,53,141,152,223,164,224,94,215,190,383,211,410,85,169,406,578,381,573,575,601
        Land preparation,2327,1578,2784,1407,1446,1536,2713,1636,3088,1565,1870,1498,2918,1961,3291,1835,1202,1619,3164,1997,3434,1850,1834,2226,4833,3749,4999,3755,4003,3681,3689,2930,3967,2983,1825,1624
        Crop establishment,1815,976,2045,889,1372,1000,1872,829,2124,759,1305,700,3304,1812,3554,1787,2154,1498,2931,1550,3175,1394,1727,1764,3761,2224,3924,2167,2945,2370,4224,2133,3996,1893,5754,2949
        Crop care and maintenance,676,651,683,704,662,547,713,737,836,817,436,410,586,712,714,725,0,...,879,919,980,909,383,826,1249,1656,1185,1343,1567,2752,1116,1383,1213,1439,469,631
        Harvesting and threshing,4963,2419,5044,2511,4807,2268,5101,2736,6054,2336,2957,2356,5757,2820,6263,2767,3428,1705,7074,4149,7760,4046,3694,2855,8367,4163,8822,4150,6095,3487,7560,3668,7531,3732,7756,3290
        Post-harvest labor,237,448,290,514,135,257,203,312,226,337,150,244,358,378,416,390,94,121,313,287,330,279,226,323,962,805,925,781,1147,910,917,671,901,675,1022,653
        Permanent hired labor,301,1526,457,1868,0,...,528,1672,390,1633,839,1753,64,500,77,551,0,...,140,864,168,946,0,...,1794,5574,1826,5849,1635,4011,739,2989,850,3191,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,71,57,75,64,62,42,112,59,109,64,118,48,209,250,210,263,209,186,330,343,322,346,369,341,547,1291,558,1394,493,549,370,330,373,339,350,266
        Land preparation,387,518,323,548,511,439,393,478,371,518,444,378,791,1231,703,1277,1197,926,937,1592,722,1533,1997,1497,1417,2711,1180,2431,2600,3653,497,1143,458,1188,759,745
        Crop establishment,119,337,107,320,143,374,539,537,749,516,66,117,64,254,56,251,100,270,122,419,96,408,248,464,512,838,546,891,338,469,259,495,276,525,148,164
        Crop care and maintenance,1045,866,1318,909,519,442,1156,452,1125,481,1225,379,1289,1547,1472,1645,444,353,2038,2194,2230,2330,1093,896,2760,4436,2512,3547,4000,7429,2125,2495,2271,2634,1149,642
        Harvesting and threshing,91,391,113,446,49,257,45,250,65,299,0,...,27,145,13,108,89,251,190,815,139,794,446,896,166,828,199,904,0,...,171,1197,193,1282,30,92
        Post-harvest labor,44,60,48,67,37,46,370,205,378,192,353,235,97,192,63,172,253,206,193,345,135,294,478,441,0,...,0,...,0,...,46,171,30,163,150,196
 Power,9,28,12,30,4,22,37,277,54,332,0,...,182,522,221,569,0,...,230,732,277,796,0,...,394,1017,372,1031,505,955,370,767,392,799,222,493
 Total Labor and Power Costs,12192,,13429,,9808,,13825,,15627,,9771,,15833,,17269,,9224,,18694,,19933,,12589,,26950,,27258,,25413,,22492,,22832,,20209,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,1070,866,1171,866,874,848,747,655,832,700,553,500,1520,1297,1729,1323,558,513,1541,1221,1663,1205,938,1159,2089,2303,2090,2300,2086,2363,2851,2238,2913,2284,2439,1906
      Irrigation,285,682,418,804,30,154,372,658,537,734,0,...,643,996,783,1048,0,...,622,923,749,965,0,...,777,2576,932,2798,0,...,410,1092,472,1159,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,232,228,237,238,207,181,233,245,210,243,349,231,29,110,33,120,5,18,183,204,181,202,196,221
      Land tax,101,217,111,236,82,178,70,151,89,173,27,67,281,459,341,487,8,31,82,144,86,148,60,129,301,1661,153,753,1040,3674,638,1908,602,1823,875,2447
      Land rent,4247,3842,3787,3756,5134,3920,4382,3817,4323,3805,4516,3922,8045,3209,8354,3222,6627,2831,8836,2954,8941,3175,8320,1405,6801,9127,6731,9548,7148,6782,7623,9805,6946,10148,12158,5329
      Other inputs,84,130,105,153,43,45,160,202,209,224,49,51,410,636,471,685,125,103,209,291,222,285,143,322,1080,767,1118,822,892,347,872,449,860,463,952,341
      Interest on capital,15,18,19,19,8,13,9,15,12,16,4,12,1006,1361,1077,1404,680,1129,1189,1577,1395,1649,173,356,1414,3354,1381,3422,1576,3048,698,2308,793,2461,59,83
 Total Other Costs,5802,,5610,,6171,,5740,,6002,,5151,,12138,,12992,,8206,,12712,,13266,,9984,,12491,,12440,,12747,,13275,,12767,,16679,
Total Cost of Production,22239,,23364,,20071,,24147,,26655,,18503,,33526,,36135,,21525,,38144,,40343,,27305,,47617,,47955,,45929,,44566,,44573,,44517,
NET RETURNS,6495,,5771,,7815,,5151,,5249,,4897,,4761,,5397,,2667,,5557,,5925,,3703,,2281,,1898,,3967,,3391,,2738,,7853,
Cost/kg,7.14,,7.29,,6.84,,8.13,,8.22,,7.83,,11.72,,11.78,,11.27,,12.4,,12.38,,12.54,,15.22,,15.14,,15.62,,15.36,,15.52,,14.37,
Net Profit Cost Ratio,0.29,,0.25,,0.39,,0.21,,0.2,,0.26,,0.14,,0.15,,0.12,,0.15,,0.15,,0.14,,0.05,,0.04,,0.09,,0.08,,0.06,,0.18,
Net Profit from Rice Farming,6495,,5771,,7815,,5151,,5249,,4897,,4761,,5397,,2667,,5557,,5925,,3703,,2281,,1898,,3967,,3391,,2738,,7853,
"Net Profit from Rice Farming + Returns
 to Own Labor",8252,,7754,,9136,,7766,,8046,,7102,,7237,,7913,,4959,,9368,,9570,,8333,,7682,,6892,,11397,,6861,,6340,,10439,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",12499,,11540,,14270,,12149,,12369,,11618,,15282,,16267,,11586,,18204,,18511,,16654,,14482,,13623,,18546,,14484,,13286,,22597,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",12514,,11560,,14278,,12158,,12380,,11623,,16288,,17344,,12265,,19393,,19906,,16827,,15896,,15005,,20121,,15182,,14079,,22656,
Northern Samar,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 50),,(n = 26),,(n = 24),,(n = 50),,(n = 17),,(n = 33),,(n = 45),,(n = 27),,(n = 18),,(n = 59),,(n = 27),,(n = 32),,(n = 60),,(n = 38),,(n = 22),,(n = 116),,(n = 50),,(n = 66),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.82,0.39,1.02,0.41,0.6,0.24,1.28,0.9,1.12,0.54,1.36,1.04,1.46,1.18,1.02,0.39,2.12,1.61,1.78,1.44,0.99,0.37,2.44,1.66,0.98,0.77,0.85,0.71,1.21,0.83,1.53,1.14,1.04,0.8,1.91,1.22
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),2188,840,2734,468,1595,749,2162,593,2674,457,1898,471,2476,990,3165,412,1443,629,2273,617,2860,281,1777,302,2706,1998,3061,2118,2092,1639,3109,8219,2462,1466,3598,10831
   Price (₱/kg),8.9,0.79,8.38,0.21,9.46,0.8,8.39,0.42,8.12,0.16,8.52,0.45,11.94,0.4,11.85,0.36,12.08,0.43,12.36,0.44,12.13,0.22,12.56,0.49,13.82,3.73,13.71,4.3,14,2.55,14.77,2.56,14.67,2.57,14.85,2.57
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,19464,,22908,,15093,,18128,,21705,,16178,,29575,,37506,,17438,,28099,,34692,,22321,,37377,,41956,,29290,,45917,,36118,,53426,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1164,832,991,665,1353,961,804,443,892,395,759,465,1911,561,2079,635,1657,292,1495,539,1073,327,1852,410,1913,1553,2241,1744,1346,938,2304,3796,3434,5548,1449,748
      Fertilizer,579,1116,824,1129,313,1062,440,779,636,1042,339,596,759,994,1264,1005,0,...,800,977,1748,640,0,...,5025,4809,6616,4690,2276,3705,3008,3929,5277,4407,1290,2389
      Herbicides,27,84,30,89,23,80,41,95,14,51,54,109,21,84,35,107,0,...,29,74,64,99,0,...,284,667,372,810,132,237,236,595,448,840,76,185
      Insecticides,395,560,298,295,501,742,348,438,331,306,357,497,244,260,304,253,154,249,169,172,296,119,61,132,1689,2325,2440,2639,391,368,818,1391,1330,1844,430,712
      Fungicides,1,9,2,13,0,...,6,21,10,29,4,15,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,17,77,0,...,29,101
      Other pesticides,1,7,1,4,2,9,3,19,2,8,4,22,7,30,11,38,0,...,102,167,223,186,0,...,590,798,663,846,464,708,336,485,460,481,243,470
 Total Material Costs,2168,,2146,,2193,,1642,,1885,,1517,,2941,,3694,,1811,,2595,,3404,,1913,,9500,,12331,,4609,,6719,,10949,,3516,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,35,99,46,117,23,77,7,51,21,87,0,...,77,208,128,258,0,...,24,94,53,135,0,...,44,241,70,302,0,...,141,626,314,928,11,61
        Land preparation,620,1109,1014,1317,194,607,424,783,839,931,210,605,923,1202,1173,1289,547,975,286,684,566,894,50,281,1631,2324,2346,2580,397,963,944,1693,1464,2271,549,902
        Crop establishment,1564,859,1370,913,1774,761,2191,751,2126,586,2224,830,2325,1597,2859,1622,1525,1203,2250,815,2123,493,2357,1007,5987,4216,6867,4525,4465,3166,4874,8963,5360,4490,4505,11252
        Crop care and maintenance,144,327,241,398,38,184,144,326,203,318,113,330,126,243,206,288,6,24,138,268,261,336,33,123,77,237,88,265,59,183,79,428,40,145,109,553
        Harvesting and threshing,3123,2289,3451,2574,2768,1925,3250,1115,3916,1354,2907,794,5052,2771,6623,1816,2694,2241,4957,1662,6161,1422,3941,1071,7552,5140,8053,4597,6689,5980,12323,49786,7406,6218,16048,65754
        Post-harvest labor,73,232,110,280,33,163,432,1161,894,1889,194,328,75,94,104,103,30,57,50,66,69,74,34,55,577,609,766,671,251,273,335,311,450,306,248,287
        Permanent hired labor,1100,2653,2115,3401,0,...,451,1423,535,1555,407,1373,940,2048,1088,2344,717,1538,1055,2701,1469,3069,707,2341,696,2456,346,1486,1300,3528,843,3846,255,1260,1288,4950
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,91,44,89,59,93,17,145,62,135,64,151,61,668,410,720,474,589,284,529,377,682,423,400,280,107,138,132,161,64,68,1443,3368,1374,1530,1495,4277
        Land preparation,976,651,843,626,1120,660,1335,745,783,640,1620,632,1852,1456,2221,1652,1299,880,1721,1431,2196,1593,1321,1158,4968,4680,5141,5328,4670,3375,7066,20724,5335,5380,8377,27092
        Crop establishment,341,600,84,325,621,704,317,413,244,165,354,493,265,322,248,323,289,329,235,455,191,224,273,584,409,848,588,1021,100,167,421,1429,829,2098,112,272
        Crop care and maintenance,963,825,1177,1018,732,467,722,830,335,194,922,957,1549,1588,2438,1470,215,286,1041,1293,2036,1278,201,406,3059,3648,4519,3882,536,567,1920,4398,2342,2489,1600,5414
        Harvesting and threshing,482,741,99,502,897,741,398,880,176,728,512,939,325,645,205,400,506,880,123,428,69,188,169,555,799,3241,1262,4019,0,...,858,3693,1121,3744,659,3669
        Post-harvest labor,72,57,43,50,104,47,354,230,267,171,398,246,302,291,418,291,127,188,294,361,400,233,205,424,219,613,277,755,119,183,159,465,236,667,101,198
 Power,259,560,448,688,54,264,215,582,283,493,180,627,1136,1005,1396,957,745,972,1041,905,1477,940,674,699,3231,4695,4664,5319,758,1404,1075,2255,1872,3140,471,838
 Total Labor and Power Costs,9844,,11130,,8450,,10385,,10758,,10194,,15613,,19830,,9289,,13746,,17754,,10364,,29357,,35118,,19406,,32479,,28397,,35572,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,294,456,412,519,167,342,232,268,137,136,281,305,156,191,209,198,77,152,377,311,306,283,438,324,979,1333,1234,1503,539,831,955,2200,1543,3188,510,657
      Irrigation,166,279,318,320,0,...,145,234,426,202,0,...,408,605,680,654,0,...,255,413,557,453,0,...,453,874,716,1013,0,...,210,528,487,719,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,365,222,350,155,389,299,233,200,312,99,165,238,70,129,93,149,30,73,40,91,57,94,26,86
      Land tax,10,71,19,98,0,...,49,164,0,...,74,198,185,300,144,217,245,393,95,161,60,105,125,193,0,...,0,...,0,...,1236,8437,213,824,2011,11136
      Land rent,4845,3865,5206,3941,4455,3827,4443,3625,5154,4245,4076,3272,5174,3709,6303,4323,3481,1402,7433,3549,6531,2404,8195,4172,12171,11941,15349,12800,6681,7882,10064,17972,12321,9672,8355,22228
      Other inputs,70,106,121,122,15,41,152,126,205,120,125,122,411,240,483,273,303,118,314,207,342,212,291,202,848,642,1004,721,579,349,885,2049,841,641,918,2667
      Interest on capital,4,12,8,16,0,...,3,8,4,10,2,7,240,537,325,578,112,453,331,570,662,687,53,193,983,1712,1138,1890,715,1350,87,470,33,30,128,621
 Total Other Costs,5389,,6083,,4637,,5024,,5926,,4559,,6940,,8495,,4607,,9039,,8771,,9265,,15504,,19534,,8545,,13477,,15496,,11947,
Total Cost of Production,17401,,19359,,15280,,17051,,18568,,16270,,25494,,32019,,15707,,25380,,29929,,21542,,54362,,66983,,32560,,52675,,54841,,51035,
NET RETURNS,2063,,3548,,-186,,1077,,3137,,-92,,4081,,5488,,1731,,2719,,4763,,779,,-16984,,-25028,,-3270,,-6759,,-18723,,2391,
Cost/kg,7.95,,7.08,,9.58,,7.89,,6.94,,8.57,,10.3,,10.12,,10.88,,11.17,,10.46,,12.12,,20.09,,21.88,,15.56,,16.95,,22.28,,14.18,
Net Profit Cost Ratio,0.12,,0.18,,-0.01,,0.06,,0.17,,-0.01,,0.16,,0.17,,0.11,,0.11,,0.16,,0.04,,-0.31,,-0.37,,-0.1,,-0.13,,-0.34,,0.05,
Net Profit from Rice Farming,2063,,3548,,-186,,1077,,3137,,-92,,4081,,5488,,1731,,2719,,4763,,779,,-16984,,-25028,,-3270,,-6759,,-18723,,2391,
"Net Profit from Rice Farming + Returns
 to Own Labor",4989,,5883,,3381,,4349,,5078,,3866,,9041,,11739,,4756,,6662,,10338,,3347,,-7423,,-13109,,2218,,5108,,-7486,,14734,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",9835,,11089,,7836,,8791,,10232,,7942,,14216,,18041,,8238,,14096,,16869,,11541,,4747,,2240,,8899,,15172,,4835,,23089,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",9839,,11097,,7836,,8795,,10236,,7945,,14455,,18367,,8350,,14427,,17531,,11594,,5730,,3378,,9615,,15259,,4868,,23217,
